"country","variable","measure","Unit","Date","Value"
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",12.8
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",13.2
"Slovenia","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",13.6
"Slovenia","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",5.967
"Slovenia","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",6.116
"Slovenia","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",6.187
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",13.1
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",13.5
"Slovenia","Travel & Tourism Total Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",13.9
"Slovenia","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",105.7
"Slovenia","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",108.1
"Slovenia","Travel & Tourism Total Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",111.3
"Slovenia","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",3.5
"Slovenia","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",3.6
"Slovenia","Travel & Tourism Direct Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",3.7
"Slovenia","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",1.638
"Slovenia","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",1.69
"Slovenia","Travel & Tourism Direct Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",1.713
"Slovenia","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2012 12:00:00 AM",3.9
"Slovenia","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2013 12:00:00 AM",4
"Slovenia","Travel & Tourism Direct Contribution to Employment","% share","% share","1/1/2014 12:00:00 AM",4.2
"Slovenia","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2012 12:00:00 AM",31.5
"Slovenia","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2013 12:00:00 AM",32.5
"Slovenia","Travel & Tourism Direct Contribution to Employment","thousands","thousands of persons","1/1/2014 12:00:00 AM",33.7
"Slovenia","Visitor Exports","% share","% share","1/1/2012 12:00:00 AM",7.8
"Slovenia","Visitor Exports","% share","% share","1/1/2013 12:00:00 AM",8.1
"Slovenia","Visitor Exports","% share","% share","1/1/2014 12:00:00 AM",8.3
"Slovenia","Visitor Exports","US$ bn","US$ bn","1/1/2012 12:00:00 AM",2.699
"Slovenia","Visitor Exports","US$ bn","US$ bn","1/1/2013 12:00:00 AM",2.843
"Slovenia","Visitor Exports","US$ bn","US$ bn","1/1/2014 12:00:00 AM",2.938
"Slovenia","Capital Investment","% share","% share","1/1/2012 12:00:00 AM",13
"Slovenia","Capital Investment","% share","% share","1/1/2013 12:00:00 AM",13.6
"Slovenia","Capital Investment","% share","% share","1/1/2014 12:00:00 AM",13.9
"Slovenia","Capital Investment","US$ bn","US$ bn","1/1/2012 12:00:00 AM",1.051
"Slovenia","Capital Investment","US$ bn","US$ bn","1/1/2013 12:00:00 AM",1.063
"Slovenia","Capital Investment","US$ bn","US$ bn","1/1/2014 12:00:00 AM",1.086
"Caribbean","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2012 12:00:00 AM",13.8
"Caribbean","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2013 12:00:00 AM",13.9
"Caribbean","Travel & Tourism Total Contribution to GDP","% share","% share","1/1/2014 12:00:00 AM",14.2
"Caribbean","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2012 12:00:00 AM",47.032
"Caribbean","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2013 12:00:00 AM",48.994
"Caribbean","Travel & Tourism Total Contribution to GDP","US$ bn","US$ bn","1/1/2014 12:00:00 AM",52.227
