Country;Country Name;Country RegionId;Variable;Variable Name;Variable Definition;Measure;Measure Name;Measure Note;Scale;Units;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
KN.A1;Caribbean;-;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;10.5;10.3;11.9;12.2;12;12.2;12.5;13.2;13.5;13.3;12.5;12.3;12.6;13.9;13.8;13;12.7;11.8;12.4;12.2;10.8;11.1;11.2;11.3;11.4;11.5
AI;Anguilla;AI;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;80;78;71.3;80.4;93;82.3;86.9;93.4;85;77.7;71.8;75.3;65.8;68.3;59.6;65.4;63;56.2;51.9;59.8;63.9;71.4;57.3;58.8;61.7;62.6
AG;Antigua and Barbuda;AG;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;109.5;114;114.1;114.8;88.9;79.8;85.6;90.3;81.3;75.2;70.8;66.5;67.7;66;69.5;64.9;63.8;63.7;70.5;72.5;64.5;62.8;59.7;57.7;58.2;58
AW;Aruba;AW;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;54.7;52.6;57;51.3;44.2;49.2;60.8;63.4;66.8;64;59.1;56.1;57.8;54.3;61.4;63.4;63.2;65.1;68.1;74.3;80.3;71.8;84.7;86.1;89.1;90.6
BS;Bahamas;BS;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;71.4;65.2;66.8;69.5;67.9;68.7;67.8;70.8;61.8;63.2;62;58.2;58.1;56.3;58.9;55.5;52.6;52.4;50.9;50.8;51.9;51.1;55.8;54.5;56.8;58.7
BB;Barbados;BB;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;34.6;31.9;50.6;37;40.1;37.7;41.4;40.5;38.5;35.3;35.7;34.9;34;37.6;36.7;42.3;45.7;44.5;46.6;44.4;40.7;38.7;37;35.7;36;35.9
BM;Bermuda;BM;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;46.6;42.5;41.1;41.3;44.1;37.2;32.8;30.6;29.8;26.7;22.6;18.2;20.4;14.8;19.6;18.3;19;21.3;17.1;17.3;19.5;21.2;21;19.5;19.6;19.8
KY;Cayman Islands;KY;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;44.3;41.9;39.4;41.4;46.3;52.8;45.8;54.5;45.8;43.1;40.9;40.4;42.4;36.7;32.2;19.6;21.8;20.7;21;21;22.7;23.9;26.8;27.2;28;28
CU;Cuba;CU;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;3.6;5.1;7.9;8.6;7.4;8.3;9.2;10.1;11.4;11.5;10.7;10.8;10.8;11.1;11.2;12.2;10.3;9.1;9.9;9.4;9;9.2;9.1;9;9.2;9.3
DM;Dominica;DM;KN.TTTCE;Travel & Tourism Total Contribution to Employment;The number of jobs generated directly in the Travel & Tourism industry plus the indirect and induced contributions.;KN.B5;% share;The share of Travel & Tourism spending or employment in the equivalent economy-wide concept in the published national income accounts or labour market statistics. Visitor exports are compared with exports of all goods and services Domestic Travel & Tourism spending is compared with GDP Government individual Travel & Tourism spending is compared with total government spending Internal Travel & Tourism consumption is compared with total internal consumption (i.e. total domestic spending plus total export) Leisure Travel & Tourism contribution to GDP is compared with total GDP Business Travel & Tourism contribution to GDP is compared with total GDP Travel & Tourism capital investment spending is compared with all fixed investment spending;units;% share;11.8;13.2;14;14.3;15.7;18.9;21.5;23.5;21.5;22.6;20.5;19.1;19.5;20.1;22.5;21.8;25.2;24.3;23;23.9;27.7;33.1;32;29;29;29.2
