"country","variable","Unit","Date","Value"
"Australia","Total international arrivals","","1/1/2006 12:00:00 AM",5532
"Australia","Total international arrivals","","1/1/2007 12:00:00 AM",5644
"Australia","Total international arrivals","","1/1/2008 12:00:00 AM",5586
"Australia","Total international arrivals","","1/1/2009 12:00:00 AM",5585
"Australia","Total international arrivals","","1/1/2010 12:00:00 AM",5885
"Australia","Total international arrivals","","1/1/2011 12:00:00 AM",5874
"Australia","Total international arrivals","","1/1/2012 12:00:00 AM",6141
"Canada","Total international arrivals","","1/1/2006 12:00:00 AM",33390
"Canada","Total international arrivals","","1/1/2007 12:00:00 AM",30373
"Canada","Total international arrivals","","1/1/2008 12:00:00 AM",27370
"Canada","Total international arrivals","","1/1/2009 12:00:00 AM",24696
"Canada","Total international arrivals","","1/1/2010 12:00:00 AM",25621
"Canada","Total international arrivals","","1/1/2011 12:00:00 AM",25065
"Canada","Total international arrivals","","1/1/2012 12:00:00 AM",25318
"Czech Republic","Total international arrivals","","1/1/2004 12:00:00 AM",23808
"Czech Republic","Total international arrivals","","1/1/2005 12:00:00 AM",24747
"Czech Republic","Total international arrivals","","1/1/2006 12:00:00 AM",25102
"Czech Republic","Total international arrivals","","1/1/2007 12:00:00 AM",26743
"Czech Republic","Total international arrivals","","1/1/2008 12:00:00 AM",26628
"Czech Republic","Total international arrivals","","1/1/2009 12:00:00 AM",23285
"Czech Republic","Total international arrivals","","1/1/2010 12:00:00 AM",21941
"Czech Republic","Total international arrivals","","1/1/2011 12:00:00 AM",22810
"Czech Republic","Total international arrivals","","1/1/2012 12:00:00 AM",24041
"Estonia","Total international arrivals","","1/1/2008 12:00:00 AM",4047
"Estonia","Total international arrivals","","1/1/2009 12:00:00 AM",4089
"Estonia","Total international arrivals","","1/1/2010 12:00:00 AM",4670
"Estonia","Total international arrivals","","1/1/2011 12:00:00 AM",5280
"Estonia","Total international arrivals","","1/1/2012 12:00:00 AM",5306
"Finland","Total international arrivals","","1/1/2006 12:00:00 AM",5345
"Finland","Total international arrivals","","1/1/2007 12:00:00 AM",5736
"Finland","Total international arrivals","","1/1/2008 12:00:00 AM",6072
"Finland","Total international arrivals","","1/1/2009 12:00:00 AM",5695
"Finland","Total international arrivals","","1/1/2010 12:00:00 AM",6182
"Finland","Total international arrivals","","1/1/2011 12:00:00 AM",7260
"Finland","Total international arrivals","","1/1/2012 12:00:00 AM",7636
"France","Total international arrivals","","1/1/2006 12:00:00 AM",193882
"France","Total international arrivals","","1/1/2007 12:00:00 AM",193319
"France","Total international arrivals","","1/1/2008 12:00:00 AM",193571
"France","Total international arrivals","","1/1/2009 12:00:00 AM",192369
"France","Total international arrivals","","1/1/2010 12:00:00 AM",190491
"France","Total international arrivals","","1/1/2011 12:00:00 AM",197301
"France","Total international arrivals","","1/1/2012 12:00:00 AM",198370
"Greece","Total international arrivals","","1/1/2006 12:00:00 AM",17284
"Greece","Total international arrivals","","1/1/2007 12:00:00 AM",18755
"Greece","Total international arrivals","","1/1/2008 12:00:00 AM",15939
"Greece","Total international arrivals","","1/1/2009 12:00:00 AM",14915
"Greece","Total international arrivals","","1/1/2010 12:00:00 AM",15007
"Greece","Total international arrivals","","1/1/2011 12:00:00 AM",16427
"Greece","Total international arrivals","","1/1/2012 12:00:00 AM",15518
"Hungary","Total international arrivals","","1/1/2006 12:00:00 AM",17321
"Hungary","Total international arrivals","","1/1/2007 12:00:00 AM",17179
"Hungary","Total international arrivals","","1/1/2008 12:00:00 AM",17796
"Hungary","Total international arrivals","","1/1/2009 12:00:00 AM",17377
"Hungary","Total international arrivals","","1/1/2010 12:00:00 AM",18543
"Hungary","Total international arrivals","","1/1/2011 12:00:00 AM",18596
"Hungary","Total international arrivals","","1/1/2012 12:00:00 AM",21149
"Iceland","Total international arrivals","","1/1/2006 12:00:00 AM",422
"Iceland","Total international arrivals","","1/1/2007 12:00:00 AM",485
"Iceland","Total international arrivals","","1/1/2008 12:00:00 AM",502
"Iceland","Total international arrivals","","1/1/2009 12:00:00 AM",494
"Iceland","Total international arrivals","","1/1/2010 12:00:00 AM",489
"Iceland","Total international arrivals","","1/1/2011 12:00:00 AM",566
"Iceland","Total international arrivals","","1/1/2012 12:00:00 AM",673
"Ireland","Total international arrivals","","1/1/2006 12:00:00 AM",7709
"Ireland","Total international arrivals","","1/1/2007 12:00:00 AM",8012
"Ireland","Total international arrivals","","1/1/2008 12:00:00 AM",7839
"Israel","Total international arrivals","","1/1/2006 12:00:00 AM",1834
"Israel","Total international arrivals","","1/1/2007 12:00:00 AM",2294
"Israel","Total international arrivals","","1/1/2008 12:00:00 AM",3028
"Israel","Total international arrivals","","1/1/2009 12:00:00 AM",2739
"Israel","Total international arrivals","","1/1/2010 12:00:00 AM",3445
"Israel","Total international arrivals","","1/1/2011 12:00:00 AM",3362
"Israel","Total international arrivals","","1/1/2012 12:00:00 AM",3521
"Italy","Total international arrivals","","1/1/2004 12:00:00 AM",58480
"Italy","Total international arrivals","","1/1/2005 12:00:00 AM",59230
"Italy","Total international arrivals","","1/1/2006 12:00:00 AM",66353
"Italy","Total international arrivals","","1/1/2007 12:00:00 AM",70271
"Italy","Total international arrivals","","1/1/2008 12:00:00 AM",70719
"Italy","Total international arrivals","","1/1/2009 12:00:00 AM",71692
"Italy","Total international arrivals","","1/1/2010 12:00:00 AM",73225
"Italy","Total international arrivals","","1/1/2011 12:00:00 AM",75866
"Italy","Total international arrivals","","1/1/2012 12:00:00 AM",76293
"Japan","Total international arrivals","","1/1/2004 12:00:00 AM",6138
"Japan","Total international arrivals","","1/1/2005 12:00:00 AM",6728
"Japan","Total international arrivals","","1/1/2006 12:00:00 AM",7334
"Japan","Total international arrivals","","1/1/2007 12:00:00 AM",8347
"Japan","Total international arrivals","","1/1/2008 12:00:00 AM",8351
"Japan","Total international arrivals","","1/1/2009 12:00:00 AM",6790
"Japan","Total international arrivals","","1/1/2010 12:00:00 AM",8611
"Japan","Total international arrivals","","1/1/2011 12:00:00 AM",6219
"Japan","Total international arrivals","","1/1/2012 12:00:00 AM",8368
"Korea","Total international arrivals","","1/1/2006 12:00:00 AM",6155
"Korea","Total international arrivals","","1/1/2007 12:00:00 AM",6448
"Korea","Total international arrivals","","1/1/2008 12:00:00 AM",6891
"Korea","Total international arrivals","","1/1/2009 12:00:00 AM",7818
"Korea","Total international arrivals","","1/1/2010 12:00:00 AM",8798
"Korea","Total international arrivals","","1/1/2011 12:00:00 AM",9795
"Korea","Total international arrivals","","1/1/2012 12:00:00 AM",11140
"Mexico","Total international arrivals","","1/1/2006 12:00:00 AM",97701
"Mexico","Total international arrivals","","1/1/2007 12:00:00 AM",93582
"Mexico","Total international arrivals","","1/1/2008 12:00:00 AM",92948
"Mexico","Total international arrivals","","1/1/2009 12:00:00 AM",88044
"Mexico","Total international arrivals","","1/1/2010 12:00:00 AM",81953
